User_ID,Phone_Number,User_Location,Order_List,Order_Placed_Time,Order_Complete_Time,Order_Bill
700636,9322764396,Malad,[134],2024-10-01 08:11:00,2024-10-01 08:36:00,189
750992,7506831144,Andheri,"[164, 105]",2024-10-01 09:04:00,2024-10-01 09:19:00,233
990524,9087466341,Fort,"[134, 155, 147, 102]",2024-10-01 09:11:00,2024-10-01 09:34:00,429
846532,9814045580,Vile Parle,"[129, 129, 134, 180, 101]",2024-10-01 09:16:00,2024-10-01 09:27:00,944
412997,9346733683,Goregaon,"[131, 107, 104]",2024-10-01 09:19:00,2024-10-01 09:36:00,308
225363,9042617678,Mumbai Central,"[174, 110, 102]",2024-10-01 09:43:00,2024-10-01 10:11:00,367
762517,9795541528,Vile Parle,"[124, 140, 167]",2024-10-01 09:57:00,2024-10-01 10:11:00,574
741619,9698807653,Fort,"[127, 104, 174, 150, 104]",2024-10-01 10:00:00,2024-10-01 10:28:00,817
905664,9320615847,Andheri,"[114, 102]",2024-10-01 10:16:00,2024-10-01 10:25:00,129
598404,9915389308,Colaba,"[161, 113, 105]",2024-10-01 10:46:00,2024-10-01 10:58:00,343
861034,9463266489,Andheri,"[124, 139, 161, 105]",2024-10-01 10:58:00,2024-10-01 11:05:00,783
891260,9988716039,Ghatkopar,"[153, 162, 103]",2024-10-01 11:00:00,2024-10-01 11:20:00,474
148955,9065229478,Santa Cruz,"[137, 106]",2024-10-01 11:36:00,2024-10-01 11:59:00,327
879103,9387851775,Bandra,"[142, 102, 106, 104]",2024-10-01 11:58:00,2024-10-01 12:13:00,610
414799,9645194651,Bandra,"[116, 177, 163, 132, 128]",2024-10-01 11:58:00,2024-10-01 12:27:00,610
619884,9098334523,Goregaon,"[167, 124, 163, 103]",2024-10-01 11:59:00,2024-10-01 12:26:00,650
950849,9661306945,Chembur,[138],2024-10-01 12:20:00,2024-10-01 12:33:00,208
554760,9499264415,Andheri,"[125, 131, 134, 183, 159, 101]",2024-10-01 12:47:00,2024-10-01 12:56:00,947
470657,9859035821,Kurla,"[101, 170, 176, 101, 152, 105]",2024-10-01 12:55:00,2024-10-01 13:06:00,867
255210,9496989874,Malad,"[121, 175, 129, 105]",2024-10-01 12:57:00,2024-10-01 13:05:00,506
514978,9003276292,Santa Cruz,"[108, 123, 121, 168, 103]",2024-10-01 13:25:00,2024-10-01 13:54:00,828
186845,9721504280,Andheri,"[154, 121, 131, 141]",2024-10-01 13:49:00,2024-10-01 13:56:00,611
906705,9066422420,Colaba,[182],2024-10-01 14:05:00,2024-10-01 14:34:00,80
371296,9459525367,Bandra,"[144, 102]",2024-10-01 14:20:00,2024-10-01 14:29:00,352
417111,9912525315,Andheri,"[125, 132, 105]",2024-10-01 14:20:00,2024-10-01 14:34:00,288
780581,9205366122,Lower Parel,[148],2024-10-01 14:44:00,2024-10-01 15:09:00,233
794350,9088211945,Colaba,"[128, 173, 105]",2024-10-01 15:05:00,2024-10-01 15:11:00,374
853128,9685855860,Goregaon,"[169, 149, 178, 144, 125, 105]",2024-10-01 15:46:00,2024-10-01 16:05:00,755
796914,9075219991,Malad,"[117, 101]",2024-10-01 17:10:00,2024-10-01 17:36:00,306
252032,9536197255,Lower Parel,"[155, 103]",2024-10-01 17:12:00,2024-10-01 17:36:00,417
783872,9336420546,Goregaon,"[136, 138, 167, 113, 104]",2024-10-01 17:25:00,2024-10-01 17:30:00,730
857455,9833151915,Andheri,"[137, 141, 105, 163, 167, 103]",2024-10-01 18:04:00,2024-10-01 18:16:00,766
