User_ID,Phone_Number,User_Location,Order_List,Order_Placed_Time,Order_Complete_Time,Order_Bill
681955,9550625756,Lower Parel,"[102, 105]",2024-10-01 09:52:00,2024-10-01 10:20:00,178
594896,9014739295,Mira Road,"[147, 121, 104]",2024-10-01 10:58:00,2024-10-01 11:06:00,600
958929,9904378482,Mira Road,"[168, 141]",2024-10-01 11:10:00,2024-10-01 11:40:00,238
646861,9956928363,Mira Road,"[118, 182, 133, 171, 129, 104]",2024-10-01 13:45:00,2024-10-01 14:13:00,899
633963,9038297434,Vasai,"[143, 144, 119]",2024-10-01 14:14:00,2024-10-01 14:35:00,258
221910,9993089673,Bhayander,"[123, 167, 105]",2024-10-01 15:55:00,2024-10-01 16:21:00,469
358580,9849626924,Mumbai Central,"[141, 133, 165, 182, 127, 104]",2024-10-01 16:20:00,2024-10-01 16:48:00,955
343027,9905241038,Ghatkopar,"[114, 102]",2024-10-01 16:43:00,2024-10-01 16:50:00,266
130297,9079724794,Bhayander,"[149, 158, 103]",2024-10-01 17:02:00,2024-10-01 17:21:00,650
184213,9828864390,Ghatkopar,"[110, 161, 112, 161, 105]",2024-10-01 17:38:00,2024-10-01 18:02:00,578
767067,9595130239,Bhayander,"[142, 109, 122, 105, 134, 105]",2024-10-01 18:21:00,2024-10-01 18:31:00,940
888075,9333693076,Bhayander,"[128, 172, 103]",2024-10-01 18:24:00,2024-10-01 18:47:00,383
239106,9364617103,Lower Parel,"[148, 166, 123, 134, 102]",2024-10-01 18:57:00,2024-10-01 19:19:00,868
343027,9914887869,Vasai,"[129, 102]",2024-10-01 21:51:00,2024-10-01 22:06:00,288
319235,9895262530,Bhayander,"[109, 143, 149, 125, 101, 101]",2024-10-01 22:59:00,2024-10-01 23:23:00,1060
360946,9943813575,Naigaon,"[104, 159, 101]",2024-10-01 23:04:00,2024-10-01 23:11:00,420
142678,9139428317,Mira Road,"[155, 167, 159, 129, 104]",2024-10-01 23:23:00,2024-10-01 23:44:00,1047
961782,9131295048,Naigaon,"[116, 145, 175, 149, 148]",2024-10-02 10:35:00,2024-10-02 11:03:00,466
891856,9687313083,Bhayander,"[180, 136, 141, 121, 119, 103]",2024-10-02 11:10:00,2024-10-02 11:39:00,891
436958,9323297959,Mira Road,"[152, 139]",2024-10-02 11:32:00,2024-10-02 11:42:00,307
509128,9907988034,Santa Cruz,"[181, 182, 154, 105]",2024-10-02 13:44:00,2024-10-02 13:54:00,694
184213,9162402437,Bhayander,"[140, 125, 129, 104]",2024-10-02 14:55:00,2024-10-02 15:25:00,756
804714,9478178998,Vile Parle,"[144, 155, 110, 149, 102]",2024-10-02 15:02:00,2024-10-02 15:28:00,904
994065,9662472962,Mira Road,"[141, 177]",2024-10-02 16:18:00,2024-10-02 16:33:00,309
110475,9857940934,Naigaon,"[174, 171, 179, 104]",2024-10-02 16:38:00,2024-10-02 16:48:00,683
124520,9734529417,Mira Road,"[118, 104]",2024-10-02 17:37:00,2024-10-02 17:54:00,286
380864,9730150138,Bhayander,"[146, 114, 152, 141, 102]",2024-10-02 17:44:00,2024-10-02 18:05:00,797
337063,9444660723,Mira Road,"[101, 103]",2024-10-02 17:56:00,2024-10-02 18:17:00,263
954508,9698138285,Vasai,"[103, 154, 158, 113]",2024-10-02 19:55:00,2024-10-02 20:16:00,609
988124,9463944901,Fort,"[154, 176]",2024-10-02 20:16:00,2024-10-02 20:35:00,299
984581,9605000125,Vasai,"[181, 133, 133, 105]",2024-10-02 22:10:00,2024-10-02 22:17:00,767
954508,9463312689,Powai,"[163, 119, 163, 120, 103]",2024-10-02 23:09:00,2024-10-02 23:33:00,717
836738,9213165081,Mira Road,"[166, 148, 161, 178, 102]",2024-10-02 23:30:00,2024-10-02 23:37:00,788
817063,9455133761,Bhayander,"[174, 145, 157, 101]",2024-10-03 10:04:00,2024-10-03 10:24:00,578
922229,9279420315,Ghatkopar,"[132, 119, 172, 149, 102]",2024-10-03 11:16:00,2024-10-03 11:35:00,862
911002,9240495580,Vasai,"[168, 146, 106, 163, 180, 103]",2024-10-03 13:30:00,2024-10-03 13:35:00,980
743388,9544626090,Chembur,"[113, 104, 105, 178, 105]",2024-10-03 14:10:00,2024-10-03 14:38:00,1001
835862,9207754908,Ghatkopar,"[171, 121, 160, 112, 101]",2024-10-03 14:15:00,2024-10-03 14:29:00,719
