User_ID,Phone_Number,User_Location,Order_List,Order_Placed_Time,Order_Complete_Time,Order_Bill
1088,+918102917208,Prabhadevi,"[104, 129, 102, 126]",2024-10-30 15:11:00,2024-10-30 15:25:00,590
1016,+917222460950,Matunga,"[148, 101, 101]",2024-10-03 13:56:00,2024-10-03 14:26:00,430
1120,+919431467738,Prabhadevi,"[130, 102]",2024-11-03 14:40:00,2024-11-03 15:03:00,406
1151,+918004751282,Dadar West,"[129, 128]",2024-11-07 16:23:00,2024-11-07 16:35:00,244
1135,+918679098964,Dadar West,"[102, 102]",2024-10-07 19:35:00,2024-10-07 19:45:00,247
1086,+917414751260,Prabhadevi,"[127, 126, 129, 148, 103]",2024-12-14 16:56:00,2024-12-14 17:06:00,824
1151,+917136658499,Matunga,"[126, 104, 105, 101]",2024-10-19 15:19:00,2024-10-19 15:38:00,604
1159,+918254100567,Matunga,"[126, 178]",2024-11-06 13:14:00,2024-11-06 13:41:00,345
1186,+918695726643,Dadar West,"[148, 126, 129, 128]",2024-12-02 18:59:00,2024-12-02 19:16:00,716
1075,+917565571039,Prabhadevi,"[105, 178, 102, 129, 101]",2024-11-03 09:21:00,2024-11-03 09:37:00,830
1158,+917052795561,Mahim,"[101, 130, 103, 128, 162]",2025-01-13 12:07:00,2025-01-13 12:33:00,611
1017,+919485728849,Dadar West,"[101, 101]",2024-10-21 14:02:00,2024-10-21 14:18:00,153
1139,+919651440493,Mahim,"[101, 103, 103]",2025-01-20 15:42:00,2025-01-20 16:08:00,525
1157,+919996919407,Parel,"[101, 101, 101, 148]",2024-11-28 08:40:00,2024-11-28 08:54:00,771
1031,+918116374997,Parel,"[126, 162, 178, 103]",2025-01-26 22:36:00,2025-01-26 23:04:00,678
1031,+918784948072,Parel,"[105, 102, 101, 178, 178]",2024-12-23 19:28:00,2024-12-23 19:44:00,631
1008,+918567175663,Mahim,"[127, 128, 126]",2025-01-28 16:33:00,2025-01-28 16:50:00,526
1137,+918329441960,Parel,"[105, 103, 101]",2024-12-05 21:34:00,2024-12-05 22:03:00,334
1107,+919903752575,Prabhadevi,"[130, 105]",2024-10-14 16:16:00,2024-10-14 16:40:00,208
1122,+919101680143,Matunga,"[178, 105, 103]",2025-01-12 10:42:00,2025-01-12 11:05:00,544
1082,+918665595543,Prabhadevi,"[178, 105, 126]",2024-10-23 09:19:00,2024-10-23 09:47:00,509
1073,+918405710947,Prabhadevi,"[130, 150]",2025-01-24 15:52:00,2025-01-24 16:21:00,414
1134,+919834742829,Dadar East,"[101, 178, 129, 126, 127]",2024-10-19 10:52:00,2024-10-19 11:05:00,585
1180,+919549113929,Mahim,"[128, 102, 129]",2025-01-23 13:07:00,2025-01-23 13:22:00,438
1104,+918508896437,Dadar East,"[178, 126]",2024-10-03 18:55:00,2024-10-03 19:15:00,438
1002,+917432508677,Prabhadevi,"[105, 162, 148, 126, 127]",2024-10-04 11:41:00,2024-10-04 12:04:00,638
1108,+917815901681,Dadar East,"[101, 103, 103, 101]",2024-10-21 20:27:00,2024-10-21 20:46:00,558
