User_ID,Phone_Number,User_Location,Order_List,Order_Placed_Time,Order_Complete_Time,Order_Bill
1644,9921322231,Bandra,"[127, 132]",2025-01-10 05:53:45.601456,2025-01-10 06:12:45.601456,260
1277,9902106225,Andheri,"[160, 129, 101, 129]",2024-11-06 13:26:45.601456,2024-11-06 13:43:45.601456,895
1164,9710865400,Borivali East,"[140, 140]",2025-01-31 03:11:45.601456,2025-01-31 03:25:45.601456,258
1894,9154218643,Borivali,"[158, 112]",2024-12-23 16:27:45.601456,2024-12-23 16:41:45.601456,364
1997,9797869970,Borivali West,"[107, 132]",2024-11-30 13:09:45.601456,2024-11-30 13:38:45.601456,280
1622,9749796553,Borivali East,"[101, 165]",2024-11-11 14:04:45.601456,2024-11-11 14:32:45.601456,351
1938,9511151207,Borivali West,[149],2025-01-30 02:38:45.601456,2025-01-30 03:07:45.601456,204
1868,9496698141,Borivali,"[101, 107, 111, 109, 105]",2024-11-12 03:00:45.601456,2024-11-12 03:22:45.601456,680
1385,9161351859,Dahisar,"[109, 107, 120, 131, 112]",2025-02-02 03:05:45.601456,2025-02-02 03:32:45.601456,1152
1934,9805620762,Borivali,"[115, 135, 107]",2024-11-29 21:33:45.601456,2024-11-29 21:45:45.601456,660
1548,9625483937,Borivali,"[110, 103]",2025-01-01 03:52:45.601456,2025-01-01 04:20:45.601456,316
1763,9334955144,Borivali West,[116],2024-11-18 18:31:45.601456,2024-11-18 19:00:45.601456,246
1368,9528584906,Mira Road,"[126, 101]",2025-01-10 00:01:45.601456,2025-01-10 00:11:45.601456,204
1458,9737933047,Borivali West,"[129, 109, 101, 129]",2025-01-13 22:12:45.601456,2025-01-13 22:31:45.601456,652
1156,9380106083,Borivali,"[101, 103, 127]",2024-11-22 07:59:45.601456,2024-11-22 08:14:45.601456,487
1245,9434282562,Kandivali,"[128, 108, 130, 116, 130]",2024-11-26 04:46:45.601456,2024-11-26 05:03:45.601456,713
1634,9529844037,Kandivali,[126],2024-12-30 15:22:45.601456,2024-12-30 15:43:45.601456,79
1666,9900558548,Borivali West,"[150, 126, 150, 114]",2025-01-04 05:07:45.601456,2025-01-04 05:21:45.601456,695
1527,9437356626,Goregaon,"[110, 105, 127]",2025-01-16 04:47:45.601456,2025-01-16 05:05:45.601456,348
1378,9353656434,Borivali,"[128, 128]",2025-01-10 20:37:45.601456,2025-01-10 20:51:45.601456,363
1551,9612682895,Malad,"[129, 121]",2024-12-26 15:59:45.601456,2024-12-26 16:19:45.601456,419
1467,9839443557,Borivali West,"[182, 129, 107, 102]",2024-11-13 18:46:45.601456,2024-11-13 19:07:45.601456,722
1089,9458997581,Bandra,"[105, 107, 108]",2025-01-10 07:14:45.601456,2025-01-10 07:34:45.601456,291
1452,9795252631,Kandivali,"[120, 105]",2024-12-15 10:22:45.601456,2024-12-15 10:42:45.601456,178
1303,9878894036,Borivali,[129],2024-12-07 23:57:45.601456,2024-12-08 00:14:45.601456,67
1489,9376745874,Borivali West,"[130, 103, 104, 130]",2024-12-14 20:41:45.601456,2024-12-14 21:05:45.601456,958
1285,9723492640,Borivali,[139],2024-12-01 07:11:45.601456,2024-12-01 07:27:45.601456,288
1152,9901936712,Malad,"[118, 130, 104, 146]",2025-01-06 01:07:45.601456,2025-01-06 01:28:45.601456,707
