User_ID,Phone_Number,User_Location,Order_List,Order_Placed_Time,Order_Complete_Time,Order_Bill
1001,+919645392147,Nallasopara,"[117, 126]",2024-11-14 02:14:44.239623,2024-11-14 02:46:44.239623,149
1190,+918089739047,Vasai,[111],2024-11-09 12:19:44.239623,2024-11-09 12:31:44.239623,102
1035,+917283650601,Andheri,"[127, 104, 101]",2024-11-18 05:52:44.239623,2024-11-18 06:12:44.239623,210
1206,+918196704210,Vasai,"[101, 107, 128, 126]",2024-12-18 13:46:44.239623,2024-12-18 13:58:44.239623,273
1400,+917632898338,Virar,"[102, 101, 103, 101, 111]",2025-01-17 17:23:44.239623,2025-01-17 17:37:44.239623,369
1032,+919441060035,Nallasopara,[109],2024-11-16 13:08:44.239623,2024-11-16 13:21:44.239623,90
1253,+917309283119,Nallasopara,"[104, 102, 129, 129]",2024-11-26 07:00:44.239623,2024-11-26 07:25:44.239623,210
1187,+917076359159,Vasai,"[116, 101, 118, 126, 111]",2024-12-03 19:32:44.239623,2024-12-03 19:46:44.239623,396
1158,+919639925321,Virar,"[131, 108, 128, 117]",2025-01-04 08:12:44.239623,2025-01-04 08:31:44.239623,306
1296,+919285531159,Vasai,"[116, 129]",2025-01-06 17:59:44.239623,2025-01-06 18:16:44.239623,89
1116,+919479895422,Vasai,"[128, 119, 103, 116, 108]",2024-11-23 04:04:44.239623,2024-11-23 04:25:44.239623,363
1420,+919834629251,Nallasopara,"[101, 101, 101]",2024-12-05 12:04:44.239623,2024-12-05 12:28:44.239623,150
1304,+919609666802,Virar,[127],2024-11-15 02:22:44.239623,2024-11-15 02:49:44.239623,60
1249,+918710513457,Vasai,"[105, 128, 101, 101, 101]",2024-11-15 23:30:44.239623,2024-11-16 00:08:44.239623,310
1021,+917544409991,Borivali,"[108, 126, 101, 127, 103]",2024-12-14 23:52:44.239623,2024-12-15 00:26:44.239623,338
1225,+917371032493,Dadar,"[105, 131]",2024-12-27 18:56:44.239623,2024-12-27 19:35:44.239623,120
1039,+918682235072,Dadar,"[101, 127, 103, 128, 126]",2024-11-25 01:28:44.239623,2024-11-25 02:03:44.239623,320
1475,+917001780208,Borivali,"[128, 107, 102, 105]",2024-12-08 09:57:44.239623,2024-12-08 10:26:44.239623,348
1290,+919596619929,Nallasopara,"[113, 103, 102]",2025-01-22 11:27:44.239623,2025-01-22 12:02:44.239623,309
1470,+919213385255,Vasai,"[106, 126, 101, 109, 101]",2025-01-19 17:49:44.239623,2025-01-19 18:07:44.239623,288
1409,+917744905737,Vasai,"[128, 126, 102, 112, 127]",2025-01-26 07:02:44.239623,2025-01-26 07:35:44.239623,317
1349,+919813666616,Andheri,"[108, 112, 116, 130, 118]",2024-11-30 23:42:44.239623,2024-12-01 00:13:44.239623,366
1356,+917397894844,Vasai,"[101, 102]",2024-11-10 22:21:44.239623,2024-11-10 22:47:44.239623,120
1348,+919505308097,Vasai,"[128, 101, 102, 127]",2025-01-10 02:29:44.239623,2025-01-10 02:45:44.239623,260
1005,+918104071448,Vasai,"[126, 101, 126, 103]",2024-12-12 10:15:44.239623,2024-12-12 10:40:44.239623,220
1432,+919094679935,Dadar,"[104, 112]",2024-12-09 01:43:44.239623,2024-12-09 01:53:44.239623,135
1159,+917524916830,Andheri,[110],2024-12-28 21:45:44.239623,2024-12-28 22:05:44.239623,130
1490,+919082461690,Dadar,"[126, 104, 116, 106, 101]",2024-11-08 21:39:44.239623,2024-11-08 22:14:44.239623,394
1233,+919500192972,Virar,[111],2024-12-31 20:49:44.239623,2024-12-31 21:07:44.239623,82
1050,+919903383758,Andheri,[127],2025-01-16 21:47:44.239623,2025-01-16 22:01:44.239623,60
1042,+917399084078,Nallasopara,[127],2024-12-05 02:07:44.239623,2024-12-05 02:23:44.239623,60
1250,+917469641970,Andheri,[110],2025-01-13 21:24:44.239623,2025-01-13 21:56:44.239623,36
1422,+919302413973,Vasai,"[105, 101, 108, 101, 126]",2024-12-07 14:09:44.239623,2024-12-07 14:48:44.239623,287
1247,+917157544753,Vasai,"[118, 108]",2025-01-08 15:29:44.239623,2025-01-08 16:01:44.239623,117
1230,+919314585899,Vasai,"[101, 101]",2025-01-29 23:40:44.239623,2025-01-29 23:54:44.239623,100
1372,+919450124972,Nallasopara,[127],2024-12-05 15:09:44.239623,2024-12-05 15:48:44.239623,60
1487,+918383882418,Vasai,"[127, 108, 130, 130, 127]",2025-01-30 08:15:44.239623,2025-01-30 08:34:44.239623,219
