User_ID,Phone_Number,User_Location,Order_List,Order_Placed_Time,Order_Complete_Time,Order_Bill
519825,9864304042,Chembur,"[113, 104]",2024-10-01 08:05:00,2024-10-01 08:28:00,126
275330,9206116641,Vile Parle,"[181, 104, 101]",2024-10-01 08:25:00,2024-10-01 08:51:00,535
690294,9354925181,Chembur,[153],2024-10-01 08:39:00,2024-10-01 08:58:00,110
710962,9791972919,Ghatkopar,"[170, 146, 141, 158, 102]",2024-10-01 08:57:00,2024-10-01 09:09:00,725
520430,7506831143,Matunga,"[153, 156, 153, 166]",2024-10-01 09:17:00,2024-10-01 09:46:00,465
562235,9014190600,Parel,"[183, 104]",2024-10-01 09:36:00,2024-10-01 09:49:00,479
369050,9738998830,Sion,"[141, 143, 114, 109, 103]",2024-10-01 09:43:00,2024-10-01 10:09:00,621
732855,9987862434,Sion,"[126, 104]",2024-10-01 10:13:00,2024-10-01 10:21:00,355
275330,9259409471,Kurla,"[153, 127, 160, 156]",2024-10-01 10:19:00,2024-10-01 10:41:00,383
918952,9456123344,Dadar,"[141, 179, 118, 116, 105]",2024-10-01 11:36:00,2024-10-01 11:46:00,774
516880,9297624439,Colaba,"[166, 166, 159]",2024-10-01 11:42:00,2024-10-01 11:48:00,372
708305,9798142614,Kurla,"[106, 105, 141]",2024-10-01 11:59:00,2024-10-01 12:08:00,443
750974,9122946506,Colaba,"[160, 146, 135]",2024-10-01 12:00:00,2024-10-01 12:13:00,570
922935,9593045291,Parel,"[151, 102]",2024-10-01 12:11:00,2024-10-01 12:32:00,225
783337,9556851876,Ghatkopar,"[179, 164, 164, 176, 138, 104]",2024-10-01 12:22:00,2024-10-01 12:47:00,885
147405,9917285746,Dadar,"[176, 121]",2024-10-01 13:47:00,2024-10-01 14:11:00,256
783034,9761902035,Sion,"[113, 132, 101]",2024-10-01 14:16:00,2024-10-01 14:26:00,542
809043,9447405954,Kurla,"[178, 101, 141, 173, 168, 101]",2024-10-01 15:52:00,2024-10-01 16:22:00,989
541128,9005767259,Mumbai Central,"[110, 151, 101]",2024-10-01 17:26:00,2024-10-01 17:52:00,432
351463,9972846224,Parel,"[169, 123, 149]",2024-10-01 18:17:00,2024-10-01 18:40:00,486
887264,9548108570,Dadar,"[107, 146, 104]",2024-10-01 19:58:00,2024-10-01 20:06:00,378
936718,9035349952,Dadar,"[162, 126, 151, 115, 174, 103]",2024-10-01 20:03:00,2024-10-01 20:11:00,787
453014,9828807579,Sion,"[137, 114, 140]",2024-10-01 20:04:00,2024-10-01 20:25:00,286
811616,9087923709,Colaba,"[104, 144, 126, 111, 104]",2024-10-01 20:07:00,2024-10-01 20:23:00,826
251145,9906757916,Sion,"[102, 114, 160, 105, 162]",2024-10-01 20:16:00,2024-10-01 20:25:00,976
461889,9069715110,Chembur,"[182, 127, 143, 170, 120, 105]",2024-10-01 20:17:00,2024-10-01 20:35:00,749
974867,9117736792,Parel,"[122, 160, 131, 147, 181, 104]",2024-10-01 20:36:00,2024-10-01 20:48:00,777
585963,9271200893,Kurla,"[166, 103]",2024-10-01 20:40:00,2024-10-01 21:08:00,254
732855,9339689999,Parel,"[107, 175, 104]",2024-10-01 21:02:00,2024-10-01 21:09:00,415
970362,9909540131,Mumbai Central,"[172, 113, 150, 111, 101]",2024-10-01 23:22:00,2024-10-01 23:28:00,863
496821,9495864654,Matunga,"[158, 147, 116, 143, 170, 104]",2024-10-02 08:06:00,2024-10-02 08:34:00,764
248633,9917645591,Colaba,"[146, 154, 153, 119, 132]",2024-10-02 08:13:00,2024-10-02 08:24:00,937
557526,9293602598,Santa Cruz,"[120, 157, 148, 105]",2024-10-02 08:42:00,2024-10-02 09:00:00,595
643875,9518309143,Powai,"[142, 155, 104]",2024-10-02 08:46:00,2024-10-02 09:08:00,297
170331,9407215169,Matunga,"[111, 104]",2024-10-02 08:50:00,2024-10-02 08:56:00,257
712340,9664858856,Santa Cruz,"[135, 104]",2024-10-02 08:54:00,2024-10-02 09:22:00,411
287314,9344483417,Matunga,"[105, 154, 148, 144, 105]",2024-10-02 09:03:00,2024-10-02 09:16:00,802
769102,9898825454,Mumbai Central,"[112, 138, 167, 102]",2024-10-02 09:33:00,2024-10-02 10:00:00,587
879297,9286057170,Dadar,"[108, 158, 167, 153, 105]",2024-10-02 09:33:00,2024-10-02 09:39:00,793
185638,9606269377,Dadar,[115],2024-10-02 10:08:00,2024-10-02 10:30:00,102
764516,9008919597,Lower Parel,"[106, 183, 167, 102, 104]",2024-10-02 10:11:00,2024-10-02 10:19:00,671
695903,9518441974,Sion,"[119, 135, 111, 148, 125, 103]",2024-10-02 10:12:00,2024-10-02 10:23:00,899
615055,9617562538,Fort,"[169, 164, 183, 104]",2024-10-02 10:34:00,2024-10-02 10:57:00,707
617668,9828588047,Sion,"[148, 147, 176, 172, 136]",2024-10-02 11:51:00,2024-10-02 12:10:00,844
316563,9409665504,Mumbai Central,"[112, 120, 145, 141, 113, 105]",2024-10-02 11:53:00,2024-10-02 12:01:00,677
970260,9087779797,Colaba,"[131, 117]",2024-10-02 12:02:00,2024-10-02 12:26:00,297
395717,9449717740,Fort,"[108, 172, 105]",2024-10-02 12:10:00,2024-10-02 12:15:00,526
348783,9941799147,Dadar,"[155, 162, 166, 115, 103]",2024-10-02 12:28:00,2024-10-02 12:35:00,829
320063,9332784274,Matunga,"[102, 171, 155, 123, 145, 102]",2024-10-02 14:15:00,2024-10-02 14:20:00,1076
769102,9204554845,Powai,"[111, 147, 127, 162]",2024-10-02 14:21:00,2024-10-02 14:30:00,620
907346,9791102714,Parel,[120],2024-10-02 14:44:00,2024-10-02 14:52:00,132
447879,9506704124,Matunga,"[123, 145, 170, 133, 104]",2024-10-02 14:46:00,2024-10-02 15:09:00,667
962662,9411627877,Mumbai Central,"[128, 102]",2024-10-02 15:06:00,2024-10-02 15:17:00,157
774264,9185503300,Parel,"[114, 105]",2024-10-02 17:00:00,2024-10-02 17:12:00,394
992754,9277567136,Dadar,"[147, 123, 155, 101]",2024-10-02 17:37:00,2024-10-02 17:47:00,721
988290,9608455456,Chembur,"[121, 111, 115, 104]",2024-10-02 17:57:00,2024-10-02 18:16:00,552
292899,9588067317,Santa Cruz,"[142, 117, 138, 138, 107]",2024-10-02 18:02:00,2024-10-02 18:10:00,583
679247,9750246770,Parel,"[157, 159, 131, 104, 117, 104]",2024-10-02 18:25:00,2024-10-02 18:47:00,946
838263,9178771755,Matunga,"[151, 181, 135]",2024-10-02 19:06:00,2024-10-02 19:31:00,442
668500,9786210225,Sion,"[165, 171, 110]",2024-10-02 20:13:00,2024-10-02 20:18:00,562
599915,9647959498,Matunga,"[181, 101]",2024-10-02 20:40:00,2024-10-02 21:06:00,426
580294,9469289216,Powai,"[169, 136, 126, 146, 123, 105]",2024-10-02 20:45:00,2024-10-02 20:56:00,1172
464427,9771453524,Santa Cruz,"[130, 174, 178, 145, 172, 104]",2024-10-02 21:18:00,2024-10-02 21:38:00,610
176393,9731385768,Mumbai Central,"[158, 101]",2024-10-02 21:20:00,2024-10-02 21:49:00,149
918548,9169728247,Dadar,"[127, 162]",2024-10-02 22:00:00,2024-10-02 22:14:00,164
589117,9306902473,Dadar,"[163, 125, 105]",2024-10-02 22:36:00,2024-10-02 22:57:00,397
559825,9400918882,Matunga,"[110, 106]",2024-10-02 22:46:00,2024-10-02 23:15:00,441
716179,9726206976,Dadar,"[174, 168, 182, 164, 120]",2024-10-02 23:09:00,2024-10-02 23:28:00,688
453014,9159936287,Lower Parel,"[138, 161, 154, 102]",2024-10-02 23:21:00,2024-10-02 23:35:00,544
186434,9017009015,Matunga,[167],2024-10-02 23:29:00,2024-10-02 23:34:00,102
316035,9835384643,Matunga,"[152, 127, 105, 161, 123, 101]",2024-10-02 23:32:00,2024-10-03 00:02:00,1156
156135,9976111205,Matunga,[111],2024-10-02 23:42:00,2024-10-03 00:04:00,71
278110,9089779854,Dadar,"[165, 111, 104, 101]",2024-10-02 23:43:00,2024-10-03 00:06:00,833
220716,9360763360,Santa Cruz,"[144, 122, 147, 178, 128, 103]",2024-10-03 08:08:00,2024-10-03 08:15:00,843
591535,9523439443,Vile Parle,"[148, 182, 118, 117, 115, 101]",2024-10-03 08:22:00,2024-10-03 08:39:00,657
520430,9674902005,Vile Parle,"[168, 173, 134, 127, 154, 105]",2024-10-03 08:22:00,2024-10-03 08:38:00,991
506313,9044178015,Lower Parel,"[156, 126]",2024-10-03 09:07:00,2024-10-03 09:18:00,213
887063,9646744042,Chembur,"[110, 139, 120, 102]",2024-10-03 09:17:00,2024-10-03 09:31:00,471
519183,9454430439,Matunga,"[150, 141, 103, 105]",2024-10-03 10:12:00,2024-10-03 10:34:00,591
256217,9197111543,Dadar,"[178, 132, 108]",2024-10-03 10:25:00,2024-10-03 10:36:00,515
873442,9410499636,Kurla,"[178, 140, 105]",2024-10-03 11:01:00,2024-10-03 11:07:00,501
273883,9700188965,Matunga,[111],2024-10-03 11:21:00,2024-10-03 11:29:00,63
641815,9152964202,Ghatkopar,"[173, 110, 163, 155, 138, 105]",2024-10-03 11:31:00,2024-10-03 11:58:00,949
500261,9800643579,Parel,"[142, 116, 101, 137]",2024-10-03 11:32:00,2024-10-03 11:46:00,618
397924,9342416509,Santa Cruz,"[158, 164, 131, 101]",2024-10-03 11:37:00,2024-10-03 11:45:00,787
945677,9855797692,Kurla,"[101, 104]",2024-10-03 11:56:00,2024-10-03 12:06:00,419
231648,9561405698,Fort,"[151, 155]",2024-10-03 12:00:00,2024-10-03 12:07:00,357
991183,9291102452,Parel,"[176, 105]",2024-10-03 13:02:00,2024-10-03 13:12:00,315
477005,9161840429,Parel,"[152, 172, 159, 119, 104]",2024-10-03 13:03:00,2024-10-03 13:32:00,803
909372,9283545081,Fort,"[134, 145, 181, 104]",2024-10-03 13:36:00,2024-10-03 13:54:00,533
386052,9854798985,Colaba,"[161, 156, 126, 105]",2024-10-03 14:36:00,2024-10-03 14:48:00,325
311004,9875232712,Matunga,"[120, 130, 101]",2024-10-03 14:41:00,2024-10-03 14:53:00,394
409202,9560564668,Mumbai Central,"[155, 183, 110, 136, 102]",2024-10-03 15:25:00,2024-10-03 15:41:00,885
712637,9370684843,Matunga,"[179, 102]",2024-10-03 15:30:00,2024-10-03 15:55:00,269
649031,9903023513,Dadar,"[127, 117, 139, 102, 146, 101]",2024-10-03 16:31:00,2024-10-03 17:00:00,829
495783,9291214749,Powai,"[154, 134, 104]",2024-10-03 16:52:00,2024-10-03 17:16:00,316
509085,9486561364,Matunga,"[152, 167, 182, 101]",2024-10-03 17:09:00,2024-10-03 17:16:00,637
695329,9760181556,Dadar,"[161, 113, 151, 183, 106, 101]",2024-10-03 18:35:00,2024-10-03 19:00:00,959
998864,9573651875,Matunga,"[105, 110, 172, 169]",2024-10-03 18:45:00,2024-10-03 19:06:00,759
326832,9688681707,Sion,"[158, 170, 130, 167, 154]",2024-10-03 18:47:00,2024-10-03 18:54:00,854
536900,9723877102,Chembur,"[183, 164, 176, 105]",2024-10-03 19:23:00,2024-10-03 19:47:00,543
672158,9735990337,Dadar,"[155, 112, 124, 101]",2024-10-03 19:33:00,2024-10-03 19:51:00,566
645718,9274504331,Dadar,"[169, 101, 164, 104]",2024-10-03 19:50:00,2024-10-03 20:07:00,633
650786,9981815935,Sion,"[154, 128, 105]",2024-10-03 19:57:00,2024-10-03 20:09:00,369
685210,9398447773,Santa Cruz,[124],2024-10-03 20:21:00,2024-10-03 20:49:00,119
273961,9509653778,Sion,"[155, 140, 125, 106, 101]",2024-10-03 20:33:00,2024-10-03 20:47:00,705
813602,9293169966,Dadar,"[179, 152, 103]",2024-10-03 20:45:00,2024-10-03 20:58:00,516
381337,9967227889,Kurla,"[151, 101]",2024-10-03 20:55:00,2024-10-03 21:25:00,430
856742,9221131655,Colaba,"[139, 126, 102]",2024-10-03 21:20:00,2024-10-03 21:26:00,379
829916,9986910147,Matunga,"[148, 103]",2024-10-03 21:32:00,2024-10-03 21:51:00,157
231648,9933547882,Matunga,"[119, 139, 137, 142, 105]",2024-10-03 21:34:00,2024-10-03 21:44:00,491
