User_ID,Phone_Number,User_Location,Order_List,Order_Placed_Time,Order_Complete_Time,Order_Bill
730905,9821556201,Mira Road,"[169, 128, 164, 170, 104]",2024-10-01 08:10:00,2024-10-01 08:30:00,859
471009,9008658025,Dahisar,"[172, 156, 157]",2024-10-01 08:11:00,2024-10-01 08:21:00,444
552593,9522588415,Lower Parel,"[154, 164, 113]",2024-10-01 08:30:00,2024-10-01 08:51:00,480
370180,9712415538,Mira Road,"[122, 170, 181, 168, 124, 102]",2024-10-01 10:28:00,2024-10-01 10:42:00,814
519114,9556167787,Borivali,"[121, 112, 146, 119, 148, 103]",2024-10-01 10:42:00,2024-10-01 10:47:00,679
202426,9989570832,Mumbai Central,"[149, 161, 167, 146, 103]",2024-10-01 11:26:00,2024-10-01 11:43:00,664
162687,9258157387,Mira Road,"[116, 101]",2024-10-01 11:59:00,2024-10-01 12:24:00,239
265378,9141706961,Kandivali,"[146, 101]",2024-10-01 12:05:00,2024-10-01 12:14:00,185
202895,9362598119,Dahisar,"[118, 105]",2024-10-01 13:13:00,2024-10-01 13:40:00,312
939059,9206206376,Kandivali,"[169, 101]",2024-10-01 13:48:00,2024-10-01 13:59:00,375
862062,9711295456,Chembur,"[169, 148]",2024-10-01 15:30:00,2024-10-01 15:53:00,370
514128,9931037712,Chembur,"[182, 172, 130, 162, 104]",2024-10-01 15:36:00,2024-10-01 15:54:00,624
814324,9644482926,Borivali,"[130, 143, 150, 104]",2024-10-01 17:15:00,2024-10-01 17:33:00,438
199968,9734762873,Chembur,"[109, 152, 156, 105]",2024-10-01 18:20:00,2024-10-01 18:37:00,753
151661,9443484610,Dahisar,"[135, 147, 103, 133, 168, 102]",2024-10-01 18:30:00,2024-10-01 18:45:00,883
428173,9187400532,Kurla,"[174, 135, 103]",2024-10-01 18:57:00,2024-10-01 19:12:00,477
288318,9337204337,Powai,"[162, 129]",2024-10-01 19:43:00,2024-10-01 20:09:00,378
983080,9890584486,Vile Parle,[148],2024-10-01 22:05:00,2024-10-01 22:33:00,182
204136,9067334669,Colaba,"[140, 102]",2024-10-01 22:09:00,2024-10-01 22:23:00,321
684836,9804038002,Dahisar,"[103, 169, 102]",2024-10-01 22:28:00,2024-10-01 22:57:00,550
831888,9646468954,Dahisar,"[146, 101]",2024-10-01 23:13:00,2024-10-01 23:26:00,411
287483,9400380404,Mira Road,"[155, 112, 113, 135, 149]",2024-10-01 23:29:00,2024-10-01 23:56:00,824
977211,9235867187,Kandivali,"[116, 128]",2024-10-01 23:31:00,2024-10-01 23:46:00,242
193318,9169682900,Vile Parle,"[129, 133, 102]",2024-10-02 09:48:00,2024-10-02 10:03:00,540
812067,9768194438,Mira Road,"[130, 129, 163, 157, 105]",2024-10-02 10:03:00,2024-10-02 10:12:00,890
971385,9098430799,Mira Road,"[150, 113, 130]",2024-10-02 10:29:00,2024-10-02 10:57:00,638
232582,9916764155,Mira Road,"[139, 104]",2024-10-02 10:39:00,2024-10-02 10:49:00,267
727114,9034175464,Mumbai Central,"[112, 129, 105]",2024-10-02 11:47:00,2024-10-02 12:05:00,502
929974,9463583478,Mira Road,"[169, 103]",2024-10-02 12:49:00,2024-10-02 13:04:00,291
281994,9552628929,Borivali,"[177, 120, 150, 183, 103]",2024-10-02 13:07:00,2024-10-02 13:28:00,838
145123,9418959624,Mumbai Central,"[143, 101]",2024-10-02 14:31:00,2024-10-02 14:58:00,267
644870,9934954292,Ghatkopar,"[122, 118, 174, 174]",2024-10-02 14:33:00,2024-10-02 14:52:00,637
981311,9003416085,Kandivali,"[157, 140, 139, 137, 165, 103]",2024-10-02 15:21:00,2024-10-02 15:42:00,840
915700,9673893641,Kandivali,"[168, 102]",2024-10-02 15:44:00,2024-10-02 16:11:00,238
479327,9044898292,Colaba,"[155, 154]",2024-10-02 16:31:00,2024-10-02 16:47:00,440
929759,9672359996,Borivali,"[116, 133, 104]",2024-10-02 16:54:00,2024-10-02 17:08:00,490
523930,9218637250,Ghatkopar,"[115, 129, 117, 181, 104]",2024-10-02 17:43:00,2024-10-02 17:53:00,531
271183,9591103345,Borivali,"[108, 103]",2024-10-02 18:01:00,2024-10-02 18:25:00,304
803277,9716355171,Mira Road,"[141, 172, 173, 129, 101]",2024-10-02 18:16:00,2024-10-02 18:22:00,848
394619,9791408170,Kurla,"[173, 110, 123, 130, 101]",2024-10-02 19:28:00,2024-10-02 19:37:00,740
226711,9688370880,Lower Parel,"[125, 120, 118, 109, 104]",2024-10-02 19:52:00,2024-10-02 20:13:00,782
655867,9644829688,Mira Road,"[116, 104]",2024-10-02 20:01:00,2024-10-02 20:15:00,256
867817,9868921396,Borivali,"[157, 105]",2024-10-02 20:37:00,2024-10-02 21:07:00,231
657446,9959320811,Dahisar,"[134, 164, 147, 103]",2024-10-02 21:21:00,2024-10-02 21:30:00,512
165140,9043675536,Santa Cruz,"[137, 102]",2024-10-02 21:52:00,2024-10-02 22:09:00,330
174577,9566592519,Dahisar,"[160, 178, 102]",2024-10-02 22:04:00,2024-10-02 22:23:00,485
